epoch,train_loss
1,0.008475412023943607
2,0.0010443598060382898
3,0.0005316597352596288
4,0.0004214526857084158
5,0.0003875437130458814
6,0.00035399447854918736
7,0.0003601314180999862
8,0.00031549308011933507
9,0.00030766309314065346
10,0.00029034078114717785
11,0.00027732544612386667
12,0.0002689105185709195
13,0.00026277912134609337
14,0.0002484758729729543
15,0.00024126252908360953
16,0.00023364316115880178
17,0.00021945906905504087
18,0.0002125893591221905
19,0.00020025984182818016
20,0.0002047505761619965
21,0.00020301234631735923
22,0.00019199736804390946
23,0.00018651130031449375
24,0.000188075181484484
25,0.00017730685419932636
26,0.0001821537424814183
27,0.00017700690996544263
28,0.0001638665659396074
29,0.00017009737047497586
30,0.00017109627270532835
31,0.0001589680969230773
32,0.0001658307777868259
33,0.0001781951397429055
34,0.0001599484628654246
35,0.00015942704859849016
36,0.00016149347404145238
37,0.00015997481119641487
38,0.00015707041136830627
39,0.00015946390144731763
40,0.00015549265830441634
